,site,date,time,predict next_15 avg-len,test_label,predict lane,curren_lane
0,2411,2022-12-09,00:30-00:33,-0.006,0.0,-0.0,0.0
1,2411,2022-12-09,00:33-00:36,-0.004,0.0,-0.0,0.0
2,2411,2022-12-09,00:36-00:39,-0.005,0.0,-0.0,0.0
3,2411,2022-12-09,00:39-00:42,-0.003,0.0,-0.0,0.0
4,2411,2022-12-09,00:42-00:45,-0.0,0.014,-0.0,0.0
5,2411,2022-12-09,00:45-00:48,-0.002,0.064,-0.0,0.0
6,2411,2022-12-09,00:48-00:51,-0.009,0.064,-0.01,0.0
7,2411,2022-12-09,00:51-00:54,-0.025,0.064,-0.01,0.0
8,2411,2022-12-09,00:54-00:57,-0.035,0.064,-0.02,0.0
9,2411,2022-12-09,00:57-01:00,-0.005,0.05,-0.0,0.0
10,2411,2022-12-09,01:00-01:03,0.022,0.0,0.01,0.0
11,2411,2022-12-09,01:03-01:06,-0.005,0.0,-0.0,0.0
12,2411,2022-12-09,01:06-01:09,-0.001,0.0,-0.0,0.0
13,2411,2022-12-09,01:09-01:12,0.004,0.0,0.0,0.0
14,2411,2022-12-09,01:12-01:15,0.005,0.0,0.0,0.0
15,2411,2022-12-09,01:15-01:18,0.008,0.0,0.0,0.0
16,2411,2022-12-09,01:18-01:21,0.012,0.0,0.01,0.0
17,2411,2022-12-09,01:21-01:24,0.031,0.0,0.02,0.0
18,2411,2022-12-09,01:24-01:27,-0.028,0.0,-0.02,0.0
19,2411,2022-12-09,01:27-01:30,-0.008,0.0,-0.0,0.0
20,2411,2022-12-09,01:30-01:33,-0.02,0.0,-0.01,0.0
21,2411,2022-12-09,01:33-01:36,-0.004,0.0,-0.0,0.0
22,2411,2022-12-09,01:36-01:39,-0.017,0.0,-0.01,0.0
23,2411,2022-12-09,01:39-01:42,-0.0,0.0,-0.0,0.0
24,2411,2022-12-09,01:42-01:45,-0.016,0.0,-0.01,0.0
25,2411,2022-12-09,01:45-01:48,-0.014,0.0,-0.01,0.0
26,2411,2022-12-09,01:48-01:51,0.0,0.0,0.0,0.0
27,2411,2022-12-09,01:51-01:54,0.02,0.0,0.01,0.0
28,2411,2022-12-09,01:54-01:57,0.013,0.0,0.01,0.0
29,2411,2022-12-09,01:57-02:00,0.016,0.0,0.01,0.0
30,2411,2022-12-09,02:00-02:03,0.019,0.0,0.01,0.0
31,2411,2022-12-09,02:03-02:06,0.019,0.0,0.01,0.0
32,2411,2022-12-09,02:06-02:09,0.014,0.0,0.01,0.0
33,2411,2022-12-09,02:09-02:12,0.013,0.0,0.01,0.0
34,2411,2022-12-09,02:12-02:15,0.01,0.0,0.01,0.0
35,2411,2022-12-09,02:15-02:18,-0.022,0.0,-0.01,0.0
36,2411,2022-12-09,02:18-02:21,-0.006,0.0,-0.0,0.0
37,2411,2022-12-09,02:21-02:24,-0.011,0.0,-0.01,0.0
38,2411,2022-12-09,02:24-02:27,-0.022,0.0,-0.01,0.0
39,2411,2022-12-09,02:27-02:30,-0.039,0.0,-0.02,0.0
40,2411,2022-12-09,02:30-02:33,-0.03,0.0,-0.02,0.0
41,2411,2022-12-09,02:33-02:36,-0.016,0.0,-0.01,0.0
42,2411,2022-12-09,02:36-02:39,-0.003,0.0,-0.0,0.0
43,2411,2022-12-09,02:39-02:42,0.0,0.0,0.0,0.0
44,2411,2022-12-09,02:42-02:45,-0.002,0.0,-0.0,0.0
45,2411,2022-12-09,02:45-02:48,0.001,0.0,0.0,0.0
46,2411,2022-12-09,02:48-02:51,0.004,0.0,0.0,0.0
47,2411,2022-12-09,02:51-02:54,0.011,0.0,0.01,0.0
48,2411,2022-12-09,02:54-02:57,0.015,0.0,0.01,0.0
49,2411,2022-12-09,02:57-03:00,0.012,0.0,0.01,0.0
50,2411,2022-12-09,03:00-03:03,-0.003,0.0,-0.0,0.0
51,2411,2022-12-09,03:03-03:06,-0.003,0.0,-0.0,0.0
52,2411,2022-12-09,03:06-03:09,-0.003,0.0,-0.0,0.0
53,2411,2022-12-09,03:09-03:12,-0.003,0.0,-0.0,0.0
54,2411,2022-12-09,03:12-03:15,-0.003,0.0,-0.0,0.0
55,2411,2022-12-09,03:15-03:18,-0.019,0.0,-0.01,0.0
56,2411,2022-12-09,03:18-03:21,-0.044,0.0,-0.03,0.0
57,2411,2022-12-09,03:21-03:24,-0.033,0.0,-0.02,0.0
58,2411,2022-12-09,03:24-03:27,-0.034,0.0,-0.02,0.0
59,2411,2022-12-09,03:27-03:30,-0.033,0.0,-0.02,0.0
60,2411,2022-12-09,03:30-03:33,-0.031,0.0,-0.02,0.0
61,2411,2022-12-09,03:33-03:36,-0.022,0.0,-0.01,0.0
62,2411,2022-12-09,03:36-03:39,-0.013,0.0,-0.01,0.0
63,2411,2022-12-09,03:39-03:42,-0.002,0.0,-0.0,0.0
64,2411,2022-12-09,03:42-03:45,0.0,0.0,0.0,0.0
65,2411,2022-12-09,03:45-03:48,-0.001,0.0,-0.0,0.0
66,2411,2022-12-09,03:48-03:51,-0.003,0.0,-0.0,0.0
67,2411,2022-12-09,03:51-03:54,-0.003,0.0,-0.0,0.0
68,2411,2022-12-09,03:54-03:57,-0.003,0.0,-0.0,0.0
69,2411,2022-12-09,03:57-04:00,-0.003,0.0,-0.0,0.0
70,2411,2022-12-09,04:00-04:03,-0.021,0.0,-0.01,0.0
71,2411,2022-12-09,04:03-04:06,-0.015,0.0,-0.01,0.0
72,2411,2022-12-09,04:06-04:09,-0.016,0.0,-0.01,0.0
73,2411,2022-12-09,04:09-04:12,-0.015,0.0,-0.01,0.0
74,2411,2022-12-09,04:12-04:15,-0.015,0.0,-0.01,0.0
75,2411,2022-12-09,04:15-04:18,-0.013,0.0,-0.01,0.0
76,2411,2022-12-09,04:18-04:21,-0.006,0.0,-0.0,0.0
77,2411,2022-12-09,04:21-04:24,-0.0,0.0,-0.0,0.0
78,2411,2022-12-09,04:24-04:27,0.002,0.0,0.0,0.0
79,2411,2022-12-09,04:27-04:30,-0.001,0.0,-0.0,0.0
80,2411,2022-12-09,04:30-04:33,-0.0,0.0,-0.0,0.0
81,2411,2022-12-09,04:33-04:36,-0.001,0.0,-0.0,0.0
82,2411,2022-12-09,04:36-04:39,0.001,0.0,0.0,0.0
83,2411,2022-12-09,04:39-04:42,0.004,0.0,0.0,0.0
84,2411,2022-12-09,04:42-04:45,0.002,0.0,0.0,0.0
85,2411,2022-12-09,04:45-04:48,0.01,0.0,0.01,0.0
86,2411,2022-12-09,04:48-04:51,0.009,0.0,0.01,0.0
87,2411,2022-12-09,04:51-04:54,0.011,0.0,0.01,0.0
88,2411,2022-12-09,04:54-04:57,0.011,0.0,0.01,0.0
89,2411,2022-12-09,04:57-05:00,0.009,0.0,0.01,0.0
90,2411,2022-12-09,05:00-05:03,0.007,0.0,0.0,0.0
91,2411,2022-12-09,05:03-05:06,0.004,0.0,0.0,0.0
92,2411,2022-12-09,05:06-05:09,0.002,0.0,0.0,0.0
93,2411,2022-12-09,05:09-05:12,0.003,0.0,0.0,0.0
94,2411,2022-12-09,05:12-05:15,0.002,0.0,0.0,0.0
95,2411,2022-12-09,05:15-05:18,-0.005,0.0,-0.0,0.0
96,2411,2022-12-09,05:18-05:21,-0.005,0.0,-0.0,0.0
97,2411,2022-12-09,05:21-05:24,-0.021,0.0,-0.01,0.0
98,2411,2022-12-09,05:24-05:27,-0.015,0.0,-0.01,0.0
99,2411,2022-12-09,05:27-05:30,-0.016,0.0,-0.01,0.0
100,2411,2022-12-09,05:30-05:33,-0.015,0.0,-0.01,0.0
101,2411,2022-12-09,05:33-05:36,-0.015,0.0,-0.01,0.0
102,2411,2022-12-09,05:36-05:39,-0.012,0.0,-0.01,0.0
103,2411,2022-12-09,05:39-05:42,-0.01,0.0,-0.01,0.0
104,2411,2022-12-09,05:42-05:45,-0.005,0.0,-0.0,0.0
105,2411,2022-12-09,05:45-05:48,0.011,0.0,0.01,0.0
106,2411,2022-12-09,05:48-05:51,0.01,0.0,0.01,0.0
107,2411,2022-12-09,05:51-05:54,0.026,0.0,0.02,0.0
108,2411,2022-12-09,05:54-05:57,0.024,0.0,0.01,0.0
109,2411,2022-12-09,05:57-06:00,0.025,0.0,0.01,0.0
110,2411,2022-12-09,06:00-06:03,0.166,0.0,0.1,0.0
111,2411,2022-12-09,06:03-06:06,0.166,0.0,0.1,0.0
112,2411,2022-12-09,06:06-06:09,0.163,0.0,0.1,0.0
113,2411,2022-12-09,06:09-06:12,0.161,0.0,0.09,0.0
114,2411,2022-12-09,06:12-06:15,0.155,0.0,0.09,0.0
115,2411,2022-12-09,06:15-06:18,0.15,0.0,0.09,0.0
116,2411,2022-12-09,06:18-06:21,0.149,0.0,0.09,0.0
117,2411,2022-12-09,06:21-06:24,0.144,0.0,0.08,0.0
118,2411,2022-12-09,06:24-06:27,0.147,0.0,0.09,0.0
119,2411,2022-12-09,06:27-06:30,0.177,0.0,0.1,0.0
120,2411,2022-12-09,06:30-06:33,0.133,0.0,0.08,0.0
121,2411,2022-12-09,06:33-06:36,0.183,0.0,0.11,0.0
122,2411,2022-12-09,06:36-06:39,0.161,0.0,0.09,0.0
123,2411,2022-12-09,06:39-06:42,0.17,0.0,0.1,0.0
124,2411,2022-12-09,06:42-06:45,0.162,0.022,0.1,0.0
125,2411,2022-12-09,06:45-06:48,0.16,0.03,0.09,0.0
126,2411,2022-12-09,06:48-06:51,0.155,0.104,0.09,0.0
127,2411,2022-12-09,06:51-06:54,0.147,0.266,0.09,0.0
128,2411,2022-12-09,06:54-06:57,0.217,0.31,0.13,0.0
129,2411,2022-12-09,06:57-07:00,0.306,0.462,0.18,1.0
130,2411,2022-12-09,07:00-07:03,0.392,0.654,0.23,1.0
131,2411,2022-12-09,07:03-07:06,0.537,0.78,0.32,1.0
132,2411,2022-12-09,07:06-07:09,0.653,0.818,0.38,1.0
133,2411,2022-12-09,07:09-07:12,0.537,0.986,0.32,1.0
134,2411,2022-12-09,07:12-07:15,0.644,0.858,0.38,1.0
135,2411,2022-12-09,07:15-07:18,0.688,0.73,0.4,1.0
136,2411,2022-12-09,07:18-07:21,0.692,0.722,0.41,1.0
137,2411,2022-12-09,07:21-07:24,0.713,0.682,0.42,1.0
138,2411,2022-12-09,07:24-07:27,0.798,0.638,0.47,1.0
139,2411,2022-12-09,07:27-07:30,0.617,0.79,0.36,0.0
140,2411,2022-12-09,07:30-07:33,0.803,0.932,0.47,1.0
141,2411,2022-12-09,07:33-07:36,0.88,0.998,0.52,1.0
142,2411,2022-12-09,07:36-07:39,0.777,0.956,0.46,1.0
143,2411,2022-12-09,07:39-07:42,0.831,0.81,0.49,1.0
144,2411,2022-12-09,07:42-07:45,0.865,0.626,0.51,1.0
145,2411,2022-12-09,07:45-07:48,0.869,0.412,0.51,1.0
146,2411,2022-12-09,07:48-07:51,0.909,0.154,0.53,1.0
147,2411,2022-12-09,07:51-07:54,0.763,0.184,0.45,1.0
148,2411,2022-12-09,07:54-07:57,0.637,0.272,0.37,1.0
149,2411,2022-12-09,07:57-08:00,0.63,0.47,0.37,1.0
150,2411,2022-12-09,08:00-08:03,0.696,0.602,0.41,0.0
151,2411,2022-12-09,08:03-08:06,0.801,0.704,0.47,1.0
152,2411,2022-12-09,08:06-08:09,0.938,0.71,0.55,1.0
153,2411,2022-12-09,08:09-08:12,0.744,0.856,0.44,0.0
154,2411,2022-12-09,08:12-08:15,1.035,0.778,0.61,1.0
155,2411,2022-12-09,08:15-08:18,1.051,0.74,0.62,1.0
156,2411,2022-12-09,08:18-08:21,0.978,0.842,0.58,1.0
157,2411,2022-12-09,08:21-08:24,1.009,0.918,0.59,1.0
158,2411,2022-12-09,08:24-08:27,1.164,0.972,0.68,1.0
159,2411,2022-12-09,08:27-08:30,0.967,1.088,0.57,1.0
160,2411,2022-12-09,08:30-08:33,1.002,1.41,0.59,1.0
161,2411,2022-12-09,08:33-08:36,1.129,1.438,0.66,1.0
162,2411,2022-12-09,08:36-08:39,1.111,1.48,0.65,1.0
163,2411,2022-12-09,08:39-08:42,1.227,1.39,0.72,1.0
164,2411,2022-12-09,08:42-08:45,1.276,1.524,0.75,1.0
165,2411,2022-12-09,08:45-08:48,1.419,1.554,0.83,1.0
166,2411,2022-12-09,08:48-08:51,1.243,1.936,0.73,1.0
167,2411,2022-12-09,08:51-08:54,1.367,2.404,0.8,1.0
168,2411,2022-12-09,08:54-08:57,1.319,2.804,0.78,1.0
169,2411,2022-12-09,08:57-09:00,1.497,2.788,0.88,1.0
170,2411,2022-12-09,09:00-09:03,1.797,2.514,1.06,1.0
171,2411,2022-12-09,09:03-09:06,2.213,2.304,1.3,2.0
172,2411,2022-12-09,09:06-09:09,2.555,1.884,1.5,2.0
173,2411,2022-12-09,09:09-09:12,2.382,1.704,1.4,2.0
174,2411,2022-12-09,09:12-09:15,2.118,1.534,1.25,2.0
175,2411,2022-12-09,09:15-09:18,1.655,1.802,0.97,1.0
176,2411,2022-12-09,09:18-09:21,2.095,1.78,1.23,2.0
177,2411,2022-12-09,09:21-09:24,2.0,1.694,1.18,2.0
178,2411,2022-12-09,09:24-09:27,2.233,1.896,1.31,2.0
179,2411,2022-12-09,09:27-09:30,2.013,2.45,1.18,2.0
180,2411,2022-12-09,09:30-09:33,2.316,2.426,1.36,2.0
181,2411,2022-12-09,09:33-09:36,2.331,2.356,1.37,2.0
182,2411,2022-12-09,09:36-09:39,2.027,2.3,1.19,2.0
183,2411,2022-12-09,09:39-09:42,2.403,2.042,1.41,2.0
184,2411,2022-12-09,09:42-09:45,2.524,1.766,1.48,2.0
185,2411,2022-12-09,09:45-09:48,2.335,1.724,1.37,2.0
186,2411,2022-12-09,09:48-09:51,2.212,1.716,1.3,2.0
187,2411,2022-12-09,09:51-09:54,1.881,1.8,1.11,1.0
188,2411,2022-12-09,09:54-09:57,2.226,1.674,1.31,2.0
189,2411,2022-12-09,09:57-10:00,2.468,1.78,1.45,2.0
190,2411,2022-12-09,10:00-10:03,2.568,1.524,1.51,2.0
191,2411,2022-12-09,10:03-10:06,2.443,1.516,1.44,2.0
192,2411,2022-12-09,10:06-10:09,2.456,1.654,1.44,2.0
193,2411,2022-12-09,10:09-10:12,2.671,1.82,1.57,2.0
194,2411,2022-12-09,10:12-10:15,2.952,1.692,1.74,2.0
195,2411,2022-12-09,10:15-10:18,2.144,2.442,1.26,1.0
196,2411,2022-12-09,10:18-10:21,2.365,2.688,1.39,1.0
197,2411,2022-12-09,10:21-10:24,2.663,2.564,1.57,1.0
198,2411,2022-12-09,10:24-10:27,2.704,2.764,1.59,1.0
199,2411,2022-12-09,10:27-10:30,2.76,3.386,1.62,1.0
200,2411,2022-12-09,10:30-10:33,3.489,3.928,2.05,3.0
201,2411,2022-12-09,10:33-10:36,3.09,4.586,1.82,3.0
202,2411,2022-12-09,10:36-10:39,2.555,5.756,1.5,2.0
203,2411,2022-12-09,10:39-10:42,3.177,6.466,1.87,2.0
204,2411,2022-12-09,10:42-10:45,4.01,6.388,2.36,3.0
205,2411,2022-12-09,10:45-10:48,4.722,6.086,2.78,3.0
206,2411,2022-12-09,10:48-10:51,4.735,5.688,2.79,3.0
207,2411,2022-12-09,10:51-10:54,5.234,4.642,3.08,3.0
208,2411,2022-12-09,10:54-10:57,5.276,3.87,3.1,3.0
209,2411,2022-12-09,10:57-11:00,5.121,3.512,3.01,3.0
210,2411,2022-12-09,11:00-11:03,4.938,2.976,2.9,3.0
211,2411,2022-12-09,11:03-11:06,4.25,2.724,2.5,3.0
212,2411,2022-12-09,11:06-11:09,3.462,3.022,2.04,2.0
213,2411,2022-12-09,11:09-11:12,3.977,3.092,2.34,2.0
214,2411,2022-12-09,11:12-11:15,3.813,3.018,2.24,2.0
215,2411,2022-12-09,11:15-11:18,3.661,3.088,2.15,2.0
216,2411,2022-12-09,11:18-11:21,3.63,3.39,2.14,2.0
217,2411,2022-12-09,11:21-11:24,3.65,3.508,2.15,2.0
218,2411,2022-12-09,11:24-11:27,3.228,3.754,1.9,2.0
219,2411,2022-12-09,11:27-11:30,3.201,4.064,1.88,2.0
220,2411,2022-12-09,11:30-11:33,3.231,4.304,1.9,2.0
221,2411,2022-12-09,11:33-11:36,3.351,4.206,1.97,2.0
222,2411,2022-12-09,11:36-11:39,3.468,4.234,2.04,2.0
223,2411,2022-12-09,11:39-11:42,3.641,4.114,2.14,2.0
224,2411,2022-12-09,11:42-11:45,3.791,3.644,2.23,2.0
225,2411,2022-12-09,11:45-11:48,3.958,3.016,2.33,3.0
226,2411,2022-12-09,11:48-11:51,3.622,2.818,2.13,3.0
227,2411,2022-12-09,11:51-11:54,3.777,2.518,2.22,3.0
228,2411,2022-12-09,11:54-11:57,3.492,2.28,2.05,2.0
229,2411,2022-12-09,11:57-12:00,3.122,2.398,1.84,2.0
230,2411,2022-12-09,12:00-12:03,3.008,2.772,1.77,1.0
231,2411,2022-12-09,12:03-12:06,3.244,3.118,1.91,1.0
232,2411,2022-12-09,12:06-12:09,3.067,3.29,1.8,1.0
233,2411,2022-12-09,12:09-12:12,3.218,3.622,1.89,1.0
234,2411,2022-12-09,12:12-12:15,2.977,3.752,1.75,1.0
235,2411,2022-12-09,12:15-12:18,3.412,3.886,2.01,3.0
236,2411,2022-12-09,12:18-12:21,3.718,3.76,2.19,4.0
237,2411,2022-12-09,12:21-12:24,3.422,4.028,2.01,4.0
238,2411,2022-12-09,12:24-12:27,3.396,4.04,2.0,3.0
239,2411,2022-12-09,12:27-12:30,3.124,4.176,1.84,3.0
240,2411,2022-12-09,12:30-12:33,3.383,4.176,1.99,3.0
241,2411,2022-12-09,12:33-12:36,3.281,4.014,1.93,3.0
242,2411,2022-12-09,12:36-12:39,3.924,3.54,2.31,3.0
243,2411,2022-12-09,12:39-12:42,3.89,3.716,2.29,4.0
244,2411,2022-12-09,12:42-12:45,4.138,3.792,2.43,4.0
245,2411,2022-12-09,12:45-12:48,4.073,3.812,2.4,3.0
246,2411,2022-12-09,12:48-12:51,3.878,3.604,2.28,3.0
247,2411,2022-12-09,12:51-12:54,3.687,3.482,2.17,3.0
248,2411,2022-12-09,12:54-12:57,4.639,3.134,2.73,3.0
249,2411,2022-12-09,12:57-13:00,4.227,2.902,2.49,3.0
250,2411,2022-12-09,13:00-13:03,4.233,2.904,2.49,3.0
251,2411,2022-12-09,13:03-13:06,3.562,3.11,2.1,3.0
252,2411,2022-12-09,13:06-13:09,3.309,3.534,1.95,3.0
253,2411,2022-12-09,13:09-13:12,3.587,3.628,2.11,3.0
254,2411,2022-12-09,13:12-13:15,3.249,3.896,1.91,3.0
255,2411,2022-12-09,13:15-13:18,3.486,3.65,2.05,3.0
256,2411,2022-12-09,13:18-13:21,3.315,3.79,1.95,3.0
257,2411,2022-12-09,13:21-13:24,3.765,3.466,2.21,3.0
258,2411,2022-12-09,13:24-13:27,3.786,3.294,2.23,3.0
259,2411,2022-12-09,13:27-13:30,4.311,3.048,2.54,3.0
260,2411,2022-12-09,13:30-13:33,3.948,3.084,2.32,3.0
261,2411,2022-12-09,13:33-13:36,4.149,3.214,2.44,3.0
262,2411,2022-12-09,13:36-13:39,3.972,3.15,2.34,3.0
263,2411,2022-12-09,13:39-13:42,3.861,3.152,2.27,2.0
264,2411,2022-12-09,13:42-13:45,3.9,3.234,2.29,3.0
265,2411,2022-12-09,13:45-13:48,3.525,3.452,2.07,3.0
266,2411,2022-12-09,13:48-13:51,4.122,3.344,2.42,3.0
267,2411,2022-12-09,13:51-13:54,3.417,3.528,2.01,3.0
268,2411,2022-12-09,13:54-13:57,3.545,3.74,2.09,2.0
269,2411,2022-12-09,13:57-14:00,3.57,3.892,2.1,2.0
270,2411,2022-12-09,14:00-14:03,3.819,3.878,2.25,2.0
271,2411,2022-12-09,14:03-14:06,3.727,3.824,2.19,2.0
272,2411,2022-12-09,14:06-14:09,3.417,3.94,2.01,2.0
273,2411,2022-12-09,14:09-14:12,3.846,3.964,2.26,2.0
274,2411,2022-12-09,14:12-14:15,3.888,3.782,2.29,2.0
275,2411,2022-12-09,14:15-14:18,4.001,3.634,2.35,3.0
276,2411,2022-12-09,14:18-14:21,3.641,3.47,2.14,3.0
277,2411,2022-12-09,14:21-14:24,3.883,3.47,2.28,3.0
278,2411,2022-12-09,14:24-14:27,4.073,3.264,2.4,3.0
279,2411,2022-12-09,14:27-14:30,3.983,3.366,2.34,3.0
280,2411,2022-12-09,14:30-14:33,3.744,3.468,2.2,3.0
281,2411,2022-12-09,14:33-14:36,3.414,3.666,2.01,2.0
282,2411,2022-12-09,14:36-14:39,3.971,3.682,2.34,2.0
283,2411,2022-12-09,14:39-14:42,4.01,4.162,2.36,2.0
284,2411,2022-12-09,14:42-14:45,4.366,4.276,2.57,2.0
285,2411,2022-12-09,14:45-14:48,4.032,4.532,2.37,2.0
286,2411,2022-12-09,14:48-14:51,4.176,4.752,2.46,2.0
287,2411,2022-12-09,14:51-14:54,4.071,4.778,2.39,3.0
288,2411,2022-12-09,14:54-14:57,4.546,4.706,2.67,3.0
289,2411,2022-12-09,14:57-15:00,4.241,4.65,2.49,3.0
290,2411,2022-12-09,15:00-15:03,4.572,4.594,2.69,4.0
291,2411,2022-12-09,15:03-15:06,4.554,4.6,2.68,4.0
292,2411,2022-12-09,15:06-15:09,4.034,4.906,2.37,3.0
293,2411,2022-12-09,15:09-15:12,4.569,4.55,2.69,3.0
294,2411,2022-12-09,15:12-15:15,4.378,4.576,2.58,3.0
295,2411,2022-12-09,15:15-15:18,4.259,4.328,2.51,3.0
296,2411,2022-12-09,15:18-15:21,4.493,4.174,2.64,4.0
297,2411,2022-12-09,15:21-15:24,4.791,3.87,2.82,4.0
298,2411,2022-12-09,15:24-15:27,4.212,3.808,2.48,3.0
299,2411,2022-12-09,15:27-15:30,4.573,3.748,2.69,3.0
300,2411,2022-12-09,15:30-15:33,4.126,3.95,2.43,2.0
301,2411,2022-12-09,15:33-15:36,4.098,3.956,2.41,2.0
302,2411,2022-12-09,15:36-15:39,4.242,3.936,2.5,3.0
303,2411,2022-12-09,15:39-15:42,3.945,4.246,2.32,3.0
304,2411,2022-12-09,15:42-15:45,4.147,4.54,2.44,3.0
305,2411,2022-12-09,15:45-15:48,4.233,5.156,2.49,3.0
306,2411,2022-12-09,15:48-15:51,4.021,5.276,2.37,3.0
307,2411,2022-12-09,15:51-15:54,3.84,5.63,2.26,3.0
308,2411,2022-12-09,15:54-15:57,4.038,5.98,2.38,3.0
309,2411,2022-12-09,15:57-16:00,4.465,6.178,2.63,3.0
310,2411,2022-12-09,16:00-16:03,5.317,5.53,3.13,4.0
311,2411,2022-12-09,16:03-16:06,4.368,5.182,2.57,4.0
